Designator,Mid X,Mid Y,Rotation,Layer
J1,50.0,-72.5,0.0,top
Q1,43.0,-39.25,180.0,top
Q10,43.0,-21.25,180.0,top
Q11,43.0,-34.75,180.0,top
Q12,43.0,-30.25,180.0,top
Q13,38.75,-60.75,0.0,top
Q14,38.75,-65.25,0.0,top
Q15,43.0,-70.75,180.0,top
Q16,43.0,-75.25,180.0,top
Q17,38.75,-47.25,0.0,top
Q18,38.75,-51.75,0.0,top
Q19,38.75,-56.25,0.0,top
Q2,43.0,-43.75,180.0,top
Q20,43.0,-66.25,180.0,top
Q21,43.0,-61.75,180.0,top
Q22,43.0,-57.25,180.0,top
Q23,43.0,-52.75,180.0,top
Q24,43.0,-48.25,180.0,top
Q25,38.75,-69.8,0.0,top
Q3,38.75,-42.75,0.0,top
Q4,38.75,-38.25,0.0,top
Q5,38.75,-33.75,0.0,top
Q6,38.75,-29.25,0.0,top
Q7,38.69,-24.75,0.0,top
Q8,38.69,-20.25,0.0,top
Q9,43.0,-25.75,180.0,top
R1,39.75,-40.5,0.0,top
R10,37.75,-36.0,180.0,top
R11,42.0,-28.0,180.0,top
R12,37.69,-31.5,180.0,top
R13,42.0,-23.5,180.0,top
R14,37.69,-27.0,180.0,top
R15,42.0,-19.0,180.0,top
R16,37.69,-22.5,180.0,top
R17,39.75,-27.0,0.0,top
R18,44.0,-23.5,0.0,top
R19,39.69,-22.5,0.0,top
R2,44.0,-37.0,0.0,top
R20,44.0,-19.0,0.0,top
R21,39.75,-36.0,0.0,top
R22,44.0,-32.5,0.0,top
R23,39.75,-31.5,0.0,top
R24,44.0,-28.0,0.0,top
R25,39.75,-58.5,180.0,top
R26,37.75,-63.0,180.0,top
R27,42.0,-64.0,180.0,top
R28,37.75,-67.5,180.0,top
R29,39.75,-72.0,0.0,top
R3,39.75,-45.0,0.0,top
R30,44.0,-68.5,0.0,top
R31,39.75,-76.5,0.0,top
R32,44.0,-73.0,0.0,top
R33,42.0,-46.0,180.0,top
R34,37.75,-49.5,180.0,top
R35,42.0,-50.5,180.0,top
R36,37.75,-54.0,180.0,top
R37,42.0,-55.0,180.0,top
R38,37.75,-58.5,180.0,top
R39,39.75,-67.5,0.0,top
R4,44.0,-41.5,0.0,top
R40,44.0,-64.0,0.0,top
R41,39.75,-63.0,0.0,top
R42,44.0,-59.5,0.0,top
R43,42.0,-59.5,180.0,top
R44,44.0,-55.0,0.0,top
R45,39.75,-54.0,0.0,top
R46,44.0,-50.5,0.0,top
R47,39.75,-49.5,0.0,top
R48,44.0,-46.0,0.0,top
R49,42.0,-68.5,180.0,top
R5,42.0,-41.5,180.0,top
R50,37.75,-72.0,180.0,top
R6,37.75,-45.0,180.0,top
R7,42.0,-37.0,180.0,top
R8,37.75,-40.5,180.0,top
R9,42.0,-32.5,180.0,top
U3,38.79,-49.19,270.0,top
